1585379336739|1|statement|connection 1|select account0_.id as id1_6_0_, account0_.account_admin as account_2_6_0_, account0_.account_birth_date as account_3_6_0_, account0_.account_company as account_4_6_0_, account0_.account_create_date as account_5_6_0_, account0_.account_head as account_6_6_0_, account0_.account_name as account_7_6_0_, account0_.account_password as account_8_6_0_, account0_.account_sign as account_9_6_0_, account0_.account_site as account10_6_0_, account0_.communication_id as communi11_6_0_ from account account0_ where account0_.id=?|select account0_.id as id1_6_0_, account0_.account_admin as account_2_6_0_, account0_.account_birth_date as account_3_6_0_, account0_.account_company as account_4_6_0_, account0_.account_create_date as account_5_6_0_, account0_.account_head as account_6_6_0_, account0_.account_name as account_7_6_0_, account0_.account_password as account_8_6_0_, account0_.account_sign as account_9_6_0_, account0_.account_site as account10_6_0_, account0_.communication_id as communi11_6_0_ from account account0_ where account0_.id=1
1585379336744|0|commit|connection 1||
1585379336744|2|statement|connection 0|select * from article where article.account_id =  ? order by article_read_count desc limit ?  |select * from article where article.account_id =  1 order by article_read_count desc limit 5  
1585379336752|1|statement|connection 0|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=?|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=1
1585379336760|1|commit|connection 1||
1585379336782|1|commit|connection 1||
1585379336798|6|statement|connection 0|select * from article where article.account_id =  ? order by article_create_time desc limit ?  |select * from article where article.account_id =  1 order by article_create_time desc limit 5  
1585379336805|0|commit|connection 1||
1585379336816|10|statement|connection 0|select * from article where article.account_id =  ? order by article_read_count desc limit ?  |select * from article where article.account_id =  1 order by article_read_count desc limit 5  
1585379336818|0|commit|connection 1||
